Date,Time,Voltage (V),Current (A),Power (W),Energy (kWh)
01-03-2024,00:00:00,234.73,0.06,14.08,0.0035
01-03-2024,00:15:00,233.88,0.05,11.69,0.0029
01-03-2024,00:30:00,235.18,0.07,16.46,0.0041
01-03-2024,00:45:00,230.67,0.09,20.76,0.0052
01-03-2024,01:00:00,234.73,0.08,18.78,0.0047
01-03-2024,01:15:00,238.82,0.07,16.72,0.0042
01-03-2024,01:30:00,231.61,0.1,23.16,0.0058
01-03-2024,01:45:00,237.49,0.04,9.5,0.0024
01-03-2024,02:00:00,237.68,0.08,19.01,0.0048
01-03-2024,02:15:00,232.85,0.05,11.64,0.0029
01-03-2024,02:30:00,232.43,0.08,18.59,0.0046
01-03-2024,02:45:00,230.36,0.07,16.13,0.004
01-03-2024,03:00:00,237.65,0.06,14.26,0.0036
01-03-2024,03:15:00,235.87,0.08,18.87,0.0047
01-03-2024,03:30:00,230.17,0.1,23.02,0.0058
01-03-2024,03:45:00,230.56,0.05,11.53,0.0029
01-03-2024,04:00:00,232.94,0.06,13.98,0.0035
01-03-2024,04:15:00,232.66,0.04,9.31,0.0023
01-03-2024,04:30:00,235.96,0.05,11.8,0.003
01-03-2024,04:45:00,235.01,0.05,11.75,0.0029
01-03-2024,05:00:00,238.36,0.09,21.45,0.0054
01-03-2024,05:15:00,232.07,0.07,16.24,0.0041
01-03-2024,05:30:00,235.53,0.04,9.42,0.0024
01-03-2024,05:45:00,238.68,0.09,21.48,0.0054
01-03-2024,06:00:00,231.05,0.08,18.48,0.0046
01-03-2024,06:15:00,236.94,0.07,16.59,0.0041
01-03-2024,06:30:00,237.55,0.07,16.63,0.0042
01-03-2024,06:45:00,234.73,0.05,11.74,0.0029
01-03-2024,07:00:00,237.15,0.07,16.6,0.0042
01-03-2024,07:15:00,231.61,0.06,13.9,0.0035
01-03-2024,07:30:00,238.62,0.04,9.54,0.0024
01-03-2024,07:45:00,230.19,0.06,13.81,0.0035
01-03-2024,08:00:00,233.34,0.1,23.33,0.0058
01-03-2024,08:15:00,231.93,0.1,23.19,0.0058
01-03-2024,08:30:00,234.96,0.03,7.05,0.0018
01-03-2024,08:45:00,239.64,0.05,11.98,0.003
01-03-2024,09:00:00,238.65,0.05,11.93,0.003
01-03-2024,09:15:00,232.16,0.04,9.29,0.0023
01-03-2024,09:30:00,232.66,0.07,16.29,0.0041
01-03-2024,09:45:00,233.73,0.05,11.69,0.0029
01-03-2024,10:00:00,231.95,0.03,6.96,0.0017
01-03-2024,10:15:00,236.06,0.09,21.25,0.0053
01-03-2024,10:30:00,235.65,0.07,16.5,0.0041
01-03-2024,10:45:00,237.99,0.04,9.52,0.0024
01-03-2024,11:00:00,238.08,0.09,21.43,0.0054
01-03-2024,11:15:00,237.77,0.07,16.64,0.0042
01-03-2024,11:30:00,233.82,0.06,14.03,0.0035
01-03-2024,11:45:00,239.36,0.04,9.57,0.0024
01-03-2024,12:00:00,234.61,0.09,21.11,0.0053
01-03-2024,12:15:00,235.67,0.09,21.21,0.0053
01-03-2024,12:30:00,237.68,0.04,9.51,0.0024
01-03-2024,12:45:00,239.06,0.08,19.12,0.0048
01-03-2024,13:00:00,232.77,0.04,9.31,0.0023
01-03-2024,13:15:00,232.44,0.03,6.97,0.0017
01-03-2024,13:30:00,232.22,0.08,18.58,0.0046
01-03-2024,13:45:00,230.77,0.09,20.77,0.0052
01-03-2024,14:00:00,235.75,0.07,16.5,0.0041
01-03-2024,14:15:00,237.18,0.08,18.97,0.0047
01-03-2024,14:30:00,233.75,0.04,9.35,0.0023
01-03-2024,14:45:00,233.82,0.1,23.38,0.0058
01-03-2024,15:00:00,233.74,0.08,18.7,0.0047
01-03-2024,15:15:00,235.46,0.05,11.77,0.0029
01-03-2024,15:30:00,234.74,0.05,11.74,0.0029
01-03-2024,15:45:00,234.71,0.08,18.78,0.0047
01-03-2024,16:00:00,235.44,0.06,14.13,0.0035
01-03-2024,16:15:00,236.37,0.03,7.09,0.0018
01-03-2024,16:30:00,233.27,0.06,14,0.0035
01-03-2024,16:45:00,238.25,0.08,19.06,0.0048
01-03-2024,17:00:00,235.52,0.05,11.78,0.0029
01-03-2024,17:15:00,239.11,0.1,23.91,0.006
01-03-2024,17:30:00,237.53,0.1,23.75,0.0059
01-03-2024,17:45:00,233.69,0.05,11.68,0.0029
01-03-2024,18:00:00,230.75,0.04,9.23,0.0023
01-03-2024,18:15:00,234.42,0.05,11.72,0.0029
01-03-2024,18:30:00,237.66,0.1,23.77,0.0059
01-03-2024,18:45:00,233.02,0.06,13.98,0.0035
01-03-2024,19:00:00,230.08,0.04,9.2,0.0023
01-03-2024,19:15:00,232.98,0.04,9.32,0.0023
01-03-2024,19:30:00,230.28,0.06,13.82,0.0035
01-03-2024,19:45:00,230.92,0.06,13.86,0.0035
01-03-2024,20:00:00,230.33,0.1,23.03,0.0058
01-03-2024,20:15:00,230.42,0.08,18.43,0.0046
01-03-2024,20:30:00,231.22,0.09,20.81,0.0052
01-03-2024,20:45:00,230.85,0.06,13.85,0.0035
01-03-2024,21:00:00,235.12,0.07,16.46,0.0041
01-03-2024,21:15:00,234.9,0.06,14.09,0.0035
01-03-2024,21:30:00,234.66,0.07,16.43,0.0041
01-03-2024,21:45:00,235.37,0.06,14.12,0.0035
01-03-2024,22:00:00,231.66,0.04,9.27,0.0023
01-03-2024,22:15:00,234.76,0.05,11.74,0.0029
01-03-2024,22:30:00,238.33,0.05,11.92,0.003
01-03-2024,22:45:00,232.03,0.09,20.88,0.0052
01-03-2024,23:00:00,231.28,0.07,16.19,0.004
01-03-2024,23:15:00,239.41,0.09,21.55,0.0054
01-03-2024,23:30:00,237.75,0.05,11.89,0.003
01-03-2024,23:45:00,232.67,0.06,13.96,0.0035
02-03-2024,00:00:00,231.39,0.05,11.57,0.0029
02-03-2024,00:15:00,231.1,0.05,11.55,0.0029
02-03-2024,00:30:00,237.2,0.08,18.98,0.0047
02-03-2024,00:45:00,236.95,0.07,16.59,0.0041
02-03-2024,00:00:00,231.84,0.06,13.91,0.0035
02-03-2024,00:15:00,239.32,0.04,9.57,0.0024
02-03-2024,00:30:00,239.87,0.05,11.99,0.003
02-03-2024,00:45:00,233.69,0.08,18.7,0.0047
02-03-2024,01:00:00,235.24,0.09,21.17,0.0053
02-03-2024,01:15:00,234.08,0.05,11.7,0.0029
02-03-2024,01:30:00,232.29,0.09,20.91,0.0052
02-03-2024,01:45:00,234.54,0.09,21.11,0.0053
02-03-2024,02:00:00,238.25,0.1,23.83,0.006
02-03-2024,02:15:00,233.57,0.09,21.02,0.0053
02-03-2024,02:30:00,236.24,0.06,14.17,0.0035
02-03-2024,02:45:00,236.02,0.09,21.24,0.0053
02-03-2024,03:00:00,237.45,0.04,9.5,0.0024
02-03-2024,03:15:00,235.17,0.04,9.41,0.0024
02-03-2024,03:30:00,236.22,0.04,9.45,0.0024
02-03-2024,03:45:00,231.95,0.09,20.88,0.0052
02-03-2024,04:00:00,236.31,0.07,16.54,0.0041
02-03-2024,04:15:00,235.51,0.03,7.07,0.0018
02-03-2024,04:30:00,230.67,0.07,16.15,0.004
02-03-2024,04:45:00,239.2,0.04,9.57,0.0024
02-03-2024,05:00:00,239.16,0.1,23.92,0.006
02-03-2024,05:15:00,235.68,0.06,14.14,0.0035
02-03-2024,05:30:00,239.23,0.03,7.18,0.0018
02-03-2024,05:45:00,239.39,0.04,9.58,0.0024
02-03-2024,06:00:00,233.11,0.03,6.99,0.0017
02-03-2024,06:15:00,230.42,0.09,20.74,0.0052
02-03-2024,06:30:00,235.52,0.09,21.2,0.0053
02-03-2024,06:45:00,238.23,0.08,19.06,0.0048
02-03-2024,07:00:00,235.78,0.04,9.43,0.0024
02-03-2024,07:15:00,230.74,0.06,13.84,0.0035
02-03-2024,07:30:00,232.6,0.09,20.93,0.0052
02-03-2024,07:45:00,230.41,0.09,20.74,0.0052
02-03-2024,08:00:00,231.82,0.07,16.23,0.0041
02-03-2024,08:15:00,236.88,0.08,18.95,0.0047
02-03-2024,08:30:00,237.73,0.05,11.89,0.003
02-03-2024,08:45:00,239.32,0.09,21.54,0.0054
02-03-2024,09:00:00,237.03,0.03,7.11,0.0018
02-03-2024,09:15:00,239.88,0.04,9.6,0.0024
02-03-2024,09:30:00,237.35,0.05,11.87,0.003
02-03-2024,09:45:00,239.26,0.06,14.36,0.0036
02-03-2024,10:00:00,232.33,0.09,20.91,0.0052
02-03-2024,10:15:00,232.12,0.07,16.25,0.0041
02-03-2024,10:30:00,238.31,0.05,11.92,0.003
02-03-2024,10:45:00,236.81,0.05,11.84,0.003
02-03-2024,11:00:00,236.73,0.07,16.57,0.0041
02-03-2024,11:15:00,237.35,0.06,14.24,0.0036
02-03-2024,11:30:00,238,0.08,19.04,0.0048
02-03-2024,11:45:00,234.99,0.04,9.4,0.0024
02-03-2024,12:00:00,235.24,0.07,16.47,0.0041
02-03-2024,12:15:00,231.68,0.04,9.27,0.0023
02-03-2024,12:30:00,232.81,0.07,16.3,0.0041
02-03-2024,12:45:00,234.42,0.08,18.75,0.0047
02-03-2024,13:00:00,230.97,0.1,23.1,0.0058
02-03-2024,13:15:00,238.71,0.06,14.32,0.0036
02-03-2024,13:30:00,231.16,0.09,20.8,0.0052
02-03-2024,13:45:00,230.73,0.08,18.46,0.0046
02-03-2024,14:00:00,235.93,0.05,11.8,0.003
02-03-2024,14:15:00,230.43,0.07,16.13,0.004
02-03-2024,14:30:00,234.8,0.1,23.48,0.0059
02-03-2024,14:45:00,235.42,0.1,23.54,0.0059
02-03-2024,15:00:00,232.4,0.03,6.97,0.0017
02-03-2024,15:15:00,238.93,0.1,23.89,0.006
02-03-2024,15:30:00,232.32,0.07,16.26,0.0041
02-03-2024,15:45:00,230.31,0.08,18.42,0.0046
02-03-2024,16:00:00,237.71,0.08,19.02,0.0048
02-03-2024,16:15:00,234.53,0.05,11.73,0.0029
02-03-2024,16:30:00,232.94,0.03,6.99,0.0017
02-03-2024,16:45:00,237.84,0.08,19.03,0.0048
02-03-2024,17:00:00,231.4,0.08,18.51,0.0046
02-03-2024,17:15:00,233.07,0.08,18.65,0.0047
02-03-2024,17:30:00,231.67,0.05,11.58,0.0029
02-03-2024,17:45:00,231.74,0.09,20.86,0.0052
02-03-2024,18:00:00,236.18,0.06,14.17,0.0035
02-03-2024,18:15:00,238.13,0.08,19.05,0.0048
02-03-2024,18:30:00,231.61,0.07,16.21,0.0041
02-03-2024,18:45:00,234,0.06,14.04,0.0035
02-03-2024,19:00:00,233.25,0.06,13.99,0.0035
02-03-2024,19:15:00,233.21,0.08,18.66,0.0047
02-03-2024,19:30:00,238.8,0.06,14.33,0.0036
02-03-2024,19:45:00,235.04,0.05,11.75,0.0029
02-03-2024,20:00:00,233.44,0.05,11.67,0.0029
02-03-2024,20:15:00,237.53,0.09,21.38,0.0053
02-03-2024,20:30:00,234.53,0.09,21.11,0.0053
02-03-2024,20:45:00,238.28,0.04,9.53,0.0024
02-03-2024,21:00:00,230.47,0.07,16.13,0.004
02-03-2024,21:15:00,238.92,0.07,16.72,0.0042
02-03-2024,21:30:00,231.96,0.05,11.6,0.0029
02-03-2024,21:45:00,232.78,0.03,6.98,0.0017
02-03-2024,22:00:00,236.17,0.05,11.81,0.003
02-03-2024,22:15:00,235.3,0.09,21.18,0.0053
02-03-2024,22:30:00,238.32,0.05,11.92,0.003
02-03-2024,22:45:00,231.81,0.1,23.18,0.0058
02-03-2024,23:00:00,235.1,0.05,11.76,0.0029
02-03-2024,23:15:00,238.1,0.03,7.14,0.0018
02-03-2024,23:30:00,232.49,0.06,13.95,0.0035
02-03-2024,23:45:00,233.31,0.05,11.67,0.0029
03-03-2024,00:00:00,239.35,0.06,14.36,0.0036
03-03-2024,00:15:00,232.2,0.08,18.58,0.0046
03-03-2024,00:30:00,231.86,0.04,9.27,0.0023
03-03-2024,00:45:00,232.37,0.07,16.27,0.0041
03-03-2024,00:00:00,236.37,0.04,9.45,0.0024
03-03-2024,00:15:00,238.45,0.06,14.31,0.0036
03-03-2024,00:30:00,235.68,0.08,18.85,0.0047
03-03-2024,00:45:00,236.21,0.04,9.45,0.0024
03-03-2024,01:00:00,233.07,0.06,13.98,0.0035
03-03-2024,01:15:00,236.06,0.04,9.44,0.0024
03-03-2024,01:30:00,238.23,0.05,11.91,0.003
03-03-2024,01:45:00,231.89,0.04,9.28,0.0023
03-03-2024,02:00:00,235.87,0.04,9.43,0.0024
03-03-2024,02:15:00,239.1,0.04,9.56,0.0024
03-03-2024,02:30:00,239.81,0.07,16.79,0.0042
03-03-2024,02:45:00,237.4,0.06,14.24,0.0036
03-03-2024,03:00:00,239.01,0.08,19.12,0.0048
03-03-2024,03:15:00,232.25,0.05,11.61,0.0029
03-03-2024,03:30:00,234.76,0.06,14.09,0.0035
03-03-2024,03:45:00,233.08,0.08,18.65,0.0047
03-03-2024,04:00:00,232.51,0.04,9.3,0.0023
03-03-2024,04:15:00,230.92,0.05,11.55,0.0029
03-03-2024,04:30:00,236.23,0.08,18.9,0.0047
03-03-2024,04:45:00,235.11,0.05,11.76,0.0029
03-03-2024,05:00:00,230.1,0.06,13.81,0.0035
03-03-2024,05:15:00,237.1,0.08,18.97,0.0047
03-03-2024,05:30:00,232.86,0.07,16.3,0.0041
03-03-2024,05:45:00,230.9,0.08,18.47,0.0046
03-03-2024,06:00:00,231.32,0.05,11.57,0.0029
03-03-2024,06:15:00,238.28,0.04,9.53,0.0024
03-03-2024,06:30:00,230.8,0.04,9.23,0.0023
03-03-2024,06:45:00,230.4,0.06,13.82,0.0035
03-03-2024,07:00:00,238.38,0.06,14.3,0.0036
03-03-2024,07:15:00,233.32,0.05,11.67,0.0029
03-03-2024,07:30:00,231.26,0.03,6.94,0.0017
03-03-2024,07:45:00,238.3,0.03,7.15,0.0018
03-03-2024,08:00:00,235.64,0.05,11.78,0.0029
03-03-2024,08:15:00,238.35,0.1,23.84,0.006
03-03-2024,08:30:00,236.65,0.04,9.47,0.0024
03-03-2024,08:45:00,235.72,0.05,11.79,0.0029
03-03-2024,09:00:00,232.63,0.07,16.28,0.0041
03-03-2024,09:15:00,237.66,0.03,7.13,0.0018
03-03-2024,09:30:00,232.76,0.09,20.95,0.0052
03-03-2024,09:45:00,238.89,0.04,9.56,0.0024
03-03-2024,10:00:00,230.22,0.05,11.51,0.0029
03-03-2024,10:15:00,232.45,0.04,9.3,0.0023
03-03-2024,10:30:00,234.44,0.06,14.07,0.0035
03-03-2024,10:45:00,231.92,0.07,16.23,0.0041
03-03-2024,11:00:00,234.41,0.04,9.38,0.0023
03-03-2024,11:15:00,238.06,0.1,23.81,0.006
03-03-2024,11:30:00,238.66,0.06,14.32,0.0036
03-03-2024,11:45:00,233.2,0.05,11.66,0.0029
03-03-2024,12:00:00,238.51,0.05,11.93,0.003
03-03-2024,12:15:00,232.99,0.07,16.31,0.0041
03-03-2024,12:30:00,233.72,0.09,21.03,0.0053
03-03-2024,12:45:00,236.47,0.06,14.19,0.0035
03-03-2024,13:00:00,230.44,0.08,18.44,0.0046
03-03-2024,13:15:00,238.26,0.1,23.83,0.006
03-03-2024,13:30:00,230.34,0.08,18.43,0.0046
03-03-2024,13:45:00,233.57,0.04,9.34,0.0023
03-03-2024,14:00:00,239.27,0.07,16.75,0.0042
03-03-2024,14:15:00,239,0.07,16.73,0.0042
03-03-2024,14:30:00,232.61,0.08,18.61,0.0047
03-03-2024,14:45:00,239.84,0.06,14.39,0.0036
03-03-2024,15:00:00,234.54,0.08,18.76,0.0047
03-03-2024,15:15:00,230.51,0.09,20.75,0.0052
03-03-2024,15:30:00,237.05,0.04,9.48,0.0024
03-03-2024,15:45:00,237.35,0.05,11.87,0.003
03-03-2024,16:00:00,230.98,0.1,23.1,0.0058
03-03-2024,16:15:00,234.64,0.05,11.73,0.0029
03-03-2024,16:30:00,233.02,0.08,18.64,0.0047
03-03-2024,16:45:00,233.12,0.08,18.65,0.0047
03-03-2024,17:00:00,236.51,0.03,7.1,0.0018
03-03-2024,17:15:00,231.84,0.09,20.87,0.0052
03-03-2024,17:30:00,237.15,0.05,11.86,0.003
03-03-2024,17:45:00,238.28,0.04,9.53,0.0024
03-03-2024,18:00:00,234.57,0.05,11.73,0.0029
03-03-2024,18:15:00,231.87,0.03,6.96,0.0017
03-03-2024,18:30:00,236.22,0.04,9.45,0.0024
03-03-2024,18:45:00,234.73,0.07,16.43,0.0041
03-03-2024,19:00:00,238.85,0.05,11.94,0.003
03-03-2024,19:15:00,231.23,0.06,13.87,0.0035
03-03-2024,19:30:00,233.85,0.09,21.05,0.0053
03-03-2024,19:45:00,234.8,0.05,11.74,0.0029
03-03-2024,20:00:00,230.87,0.09,20.78,0.0052
03-03-2024,20:15:00,230.14,0.05,11.51,0.0029
03-03-2024,20:30:00,230.42,0.04,9.22,0.0023
03-03-2024,20:45:00,234.54,0.03,7.04,0.0018
03-03-2024,21:00:00,237.31,0.07,16.61,0.0042
03-03-2024,21:15:00,236.51,0.04,9.46,0.0024
03-03-2024,21:30:00,233.29,0.04,9.33,0.0023
03-03-2024,21:45:00,236.97,0.09,21.33,0.0053
03-03-2024,22:00:00,231.32,0.05,11.57,0.0029
03-03-2024,22:15:00,234.38,0.09,21.09,0.0053
03-03-2024,22:30:00,235.85,0.03,7.08,0.0018
03-03-2024,22:45:00,231.86,0.04,9.27,0.0023
03-03-2024,23:00:00,234.81,0.1,23.48,0.0059
03-03-2024,23:15:00,233.28,0.07,16.33,0.0041
03-03-2024,23:30:00,237.43,0.04,9.5,0.0024
03-03-2024,23:45:00,235.8,0.07,16.51,0.0041
04-03-2024,00:00:00,234.05,0.08,18.72,0.0047
