Date,Time,Voltage (V),Current (A),Power (W),Energy (kWh)
01-03-2024,00:00:00,234.73,0.06,14.08,35
01-03-2024,00:15:00,233.88,0.05,11.69,29
01-03-2024,00:30:00,235.18,0.07,16.46,41
01-03-2024,00:45:00,230.67,0.09,20.76,52
01-03-2024,01:00:00,234.73,0.08,18.78,47
01-03-2024,01:15:00,238.82,0.07,16.72,42
01-03-2024,01:30:00,231.61,0.1,23.16,58
01-03-2024,01:45:00,237.49,0.04,9.5,24
01-03-2024,02:00:00,237.68,0.08,19.01,48
01-03-2024,02:15:00,232.85,0.05,11.64,29
01-03-2024,02:30:00,232.43,0.08,18.59,46
01-03-2024,02:45:00,230.36,0.07,16.13,4
01-03-2024,03:00:00,237.65,0.06,14.26,36
01-03-2024,03:15:00,235.87,0.08,18.87,47
01-03-2024,03:30:00,230.17,0.1,23.02,58
01-03-2024,03:45:00,230.56,0.05,11.53,29
01-03-2024,04:00:00,232.94,0.06,13.98,35
01-03-2024,04:15:00,232.66,0.04,9.31,23
01-03-2024,04:30:00,235.96,0.05,11.8,3
01-03-2024,04:45:00,235.01,0.05,11.75,29
01-03-2024,05:00:00,238.36,0.09,21.45,54
01-03-2024,05:15:00,232.07,0.07,16.24,41
01-03-2024,05:30:00,235.53,0.04,9.42,24
01-03-2024,05:45:00,238.68,0.09,21.48,54
01-03-2024,06:00:00,231.05,0.08,18.48,46
01-03-2024,06:15:00,236.94,0.07,16.59,41
01-03-2024,06:30:00,237.55,0.07,16.63,42
01-03-2024,06:45:00,234.73,0.05,11.74,29
01-03-2024,07:00:00,237.15,0.07,16.6,42
01-03-2024,07:15:00,231.61,0.06,13.9,35
01-03-2024,07:30:00,238.62,0.04,9.54,24
01-03-2024,07:45:00,230.19,0.06,13.81,35
01-03-2024,08:00:00,233.34,0.1,23.33,58
01-03-2024,08:15:00,231.93,0.1,23.19,58
01-03-2024,08:30:00,234.96,0.03,7.05,18
01-03-2024,08:45:00,239.64,0.05,11.98,3
01-03-2024,09:00:00,238.65,0.05,11.93,3
01-03-2024,09:15:00,232.16,0.04,9.29,23
01-03-2024,09:30:00,232.66,0.07,16.29,41
01-03-2024,09:45:00,233.73,0.05,11.69,29
01-03-2024,10:00:00,231.95,0.03,6.96,17
01-03-2024,10:15:00,236.06,0.09,21.25,53
01-03-2024,10:30:00,235.65,0.07,16.5,41
