Voltage (V),Current (A),Power (W),Energy (kWh)
"SPIWP:0xee394.55",4.06,1600.26,1
376.40,3.96,1491.12,2
361.76,3.74,1352.53,2
341.13,3.5,1192.37,3
217.26,2.08,451.29,3
119.64,1.46,174.67,4
114.30,1.33,151.91,4
100.13,1.04,104.09,4
85.47,0.98,83.44,4
75.98,0.81,61.44,4
69.12,0.91,62.84,4
66.71,0.82,54.5,4
62.65,0.84,52.56,4
60.36,0.76,45.7,4
56.21,0.73,40.91,4
53.56,0.72,38.64,4
46.75,0.47,21.83,4
39.95,0.52,20.89,4
38.05,0.56,21.14,4
36.51,0.49,17.92,4
34.57,0.44,15.21,4
31.64,0.27,8.61,4
28.91,0.36,10.49,4
27.19,0.33,9.03,4
25.86,0.32,8.28,4
24.00,0.36,8.55,4
21.64,0.23,4.87,4
19.25,0.3,5.86,4
13.71,0.1,1.38,4
8.76,0.32,2.83,4
9.10,0.28,2.57,4
8.45,0.25,2.14,4
8.09,0.27,2.2,4
7.51,0.28,2.14,4
6.88,0.13,0.89,4
6.15,0.17,1.05,4
6.08,0.26,1.6,4
5.36,0.17,0.91,4
5.11,0.24,1.21,4
4.71,0.15,0.69,4
4.36,0.14,0.63,4
4.91,0.17,0.83,4
4.24,0.23,0.97,4
3.34,0.08,0.26,4
2.59,0.09,0.24,4
2.21,0.19,0.42,4
2.13,0.11,0.24,4
1.97,0.2,0.4,4
121.75,0.12,14.78,4
121.63,0.11,12.88,4
121.93,0.1,12.13,4
121.83,0.1,12.52,4
121.83,0.1,12.65,4
121.68,0.11,13.49,4
122.47,0.14,16.76,4
121.78,0.11,13.26,4
2.09,0.21,0.45,4
2.12,0.08,0.17,4
1.94,0.2,0.39,4
2.05,0.24,0.49,4
2.05,0.14,0.29,4
2.61,0.16,0.41,4
2.10,0.08,0.18,4
1.82,0.1,0.18,4
1.93,0.22,0.42,4
2.26,0.11,0.25,4
1.35,0.17,0.23,4
2.41,0.19,0.46,4
1.48,0.2,0.3,4
2.17,0.12,0.26,4
2.14,0.16,0.34,4
1.81,0.17,0.3,4
1.52,0.14,0.21,4
1.41,0.16,0.23,4
1.53,0.18,0.27,4
1.36,0.14,0.19,4
2.00,0.17,0.34,4
1.38,0.14,0.19,4
1.69,0.16,0.27,4
2.20,0.1,0.21,4
1.82,0.11,0.2,4
2.29,0.1,0.23,4
3.40,0.1,0.35,4
1.43,0.13,0.19,4
2.40,0.16,0.38,4
2.22,0.14,0.32,4
1.96,0.13,0.26,4
2.03,0.12,0.24,4
1.28,0.16,0.21,4
1.76,0.14,0.25,4
1.17,0.12,0.14,4
2.06,0.14,0.3,4
2.86,0.13,0.38,4
2.45,0.12,0.3,4
1.87,0.11,0.2,4
2.49,0.16,0.4,4
1.72,0.11,0.19,4
1.86,0.14,0.26,4
2.40,0.15,0.36,4
1.96,0.11,0.22,4
2.22,0.11,0.25,4
1.86,0.1,0.18,4
1.86,0.11,0.2,4
1.99,0.09,0.17,4
1.92,0.05,0.09,4
2.21,0.27,0.6,4
2.07,0.38,0.79,4
2.19,0.26,0.58,4
1.34,0.33,0.44,4
1.64,0.22,0.36,4
1.47,0.2,0.3,4
1.80,0.26,0.47,4
1.84,0.19,0.35,4
1.92,0.07,0.13,4
1.93,0.22,0.42,4
2.23,0.22,0.5,4
2.55,0.19,0.48,4
1.31,0.27,0.35,4
1.89,0.07,0.14,4
2.30,0.18,0.4,4
1.87,0.28,0.53,4
2.06,0.18,0.37,4
2.19,0.19,0.42,4
1.73,0.2,0.34,4
1.88,0.14,0.27,4
1.87,0.08,0.15,4
1.97,0.05,0.11,4
2.05,0.31,0.64,4
1.97,0.26,0.52,4
1.63,0.27,0.43,4
1.85,0.1,0.18,4
1.77,0.21,0.37,4
1.84,0.17,0.32,4
1.67,0.26,0.43,4
1.88,0.22,0.42,4
2.00,0.24,0.47,4
2.02,0.26,0.53,4
1.79,0.18,0.32,4
2.10,0.19,0.4,4
2.06,0.07,0.14,4
1.96,0.29,0.57,4
1.48,0.24,0.36,4
1.78,0.24,0.43,4
2.60,0.21,0.54,4
1.88,0.25,0.47,4
2.31,0.18,0.41,4
1.59,0.2,0.32,4
1.66,0.2,0.34,4
2.08,0.19,0.39,4
2.14,0.22,0.46,4
1.57,0.13,0.2,4
2.83,0.17,0.48,4
2.24,0.18,0.4,4
2.02,0.11,0.23,4
1.69,0.11,0.19,4
2.14,0.12,0.25,4
1.81,0.14,0.26,4
1.83,0.1,0.18,4
1.92,0.04,0.08,4
1.50,0.3,0.45,4
1.48,0.36,0.53,4
2.14,0.35,0.76,4
2.72,0.35,0.94,4
