Voltage (V),Current (A),Power (W),Energy (kWh)
"SPIWP:0xee394.55",4.06,1600.26,0.01
376.40,3.96,1491.12,0.02
361.76,3.74,1352.53,0.02
341.13,3.50,1192.37,0.03
217.26,2.08,451.29,0.03
119.64,1.46,174.67,0.04
114.30,1.33,151.91,0.04
100.13,1.04,104.09,0.04
85.47,0.98,83.44,0.04
75.98,0.81,61.44,0.04
69.12,0.91,62.84,0.04
66.71,0.82,54.50,0.04
62.65,0.84,52.56,0.04
60.36,0.76,45.70,0.04
56.21,0.73,40.91,0.04
53.56,0.72,38.64,0.04
46.75,0.47,21.83,0.04
39.95,0.52,20.89,0.04
38.05,0.56,21.14,0.04
36.51,0.49,17.92,0.04
34.57,0.44,15.21,0.04
31.64,0.27,8.61,0.04
28.91,0.36,10.49,0.04
27.19,0.33,9.03,0.04
25.86,0.32,8.28,0.04
24.00,0.36,8.55,0.04
21.64,0.23,4.87,0.04
19.25,0.30,5.86,0.04
13.71,0.10,1.38,0.04
8.76,0.32,2.83,0.04
9.10,0.28,2.57,0.04
8.45,0.25,2.14,0.04
8.09,0.27,2.20,0.04
7.51,0.28,2.14,0.04
6.88,0.13,0.89,0.04
6.15,0.17,1.05,0.04
6.08,0.26,1.60,0.04
5.36,0.17,0.91,0.04
5.11,0.24,1.21,0.04
4.71,0.15,0.69,0.04
4.36,0.14,0.63,0.04
4.91,0.17,0.83,0.04
4.24,0.23,0.97,0.04
3.34,0.08,0.26,0.04
2.59,0.09,0.24,0.04
2.21,0.19,0.42,0.04
2.13,0.11,0.24,0.04
1.97,0.20,0.40,0.04
121.75,0.12,14.78,0.04
121.63,0.11,12.88,0.04
121.93,0.10,12.13,0.04
121.83,0.10,12.52,0.04
121.83,0.10,12.65,0.04
121.68,0.11,13.49,0.04
122.47,0.14,16.76,0.04
121.78,0.11,13.26,0.04
2.09,0.21,0.45,0.04
2.12,0.08,0.17,0.04
1.94,0.20,0.39,0.04
2.05,0.24,0.49,0.04
2.05,0.14,0.29,0.04
2.61,0.16,0.41,0.04
2.10,0.08,0.18,0.04
1.82,0.10,0.18,0.04
1.93,0.22,0.42,0.04
2.26,0.11,0.25,0.04
1.35,0.17,0.23,0.04
2.41,0.19,0.46,0.04
1.48,0.20,0.30,0.04
2.17,0.12,0.26,0.04
2.14,0.16,0.34,0.04
1.81,0.17,0.30,0.04
1.52,0.14,0.21,0.04
1.41,0.16,0.23,0.04
1.53,0.18,0.27,0.04
1.36,0.14,0.19,0.04
2.00,0.17,0.34,0.04
1.38,0.14,0.19,0.04
1.69,0.16,0.27,0.04
2.20,0.10,0.21,0.04
1.82,0.11,0.20,0.04
2.29,0.10,0.23,0.04
3.40,0.10,0.35,0.04
1.43,0.13,0.19,0.04
2.40,0.16,0.38,0.04
2.22,0.14,0.32,0.04
1.96,0.13,0.26,0.04
2.03,0.12,0.24,0.04
1.28,0.16,0.21,0.04
1.76,0.14,0.25,0.04
1.17,0.12,0.14,0.04
2.06,0.14,0.30,0.04
2.86,0.13,0.38,0.04
2.45,0.12,0.30,0.04
1.87,0.11,0.20,0.04
2.49,0.16,0.40,0.04
1.72,0.11,0.19,0.04
1.86,0.14,0.26,0.04
2.40,0.15,0.36,0.04
1.96,0.11,0.22,0.04
2.22,0.11,0.25,0.04
1.86,0.10,0.18,0.04
1.86,0.11,0.20,0.04
1.99,0.09,0.17,0.04
1.92,0.05,0.09,0.04
2.21,0.27,0.60,0.04
2.07,0.38,0.79,0.04
2.19,0.26,0.58,0.04
1.34,0.33,0.44,0.04
1.64,0.22,0.36,0.04
1.47,0.20,0.30,0.04
1.80,0.26,0.47,0.04
1.84,0.19,0.35,0.04
1.92,0.07,0.13,0.04
1.93,0.22,0.42,0.04
2.23,0.22,0.50,0.04
2.55,0.19,0.48,0.04
1.31,0.27,0.35,0.04
1.89,0.07,0.14,0.04
2.30,0.18,0.40,0.04
1.87,0.28,0.53,0.04
2.06,0.18,0.37,0.04
2.19,0.19,0.42,0.04
1.73,0.20,0.34,0.04
1.88,0.14,0.27,0.04
1.87,0.08,0.15,0.04
1.97,0.05,0.11,0.04
2.05,0.31,0.64,0.04
1.97,0.26,0.52,0.04
1.63,0.27,0.43,0.04
1.85,0.10,0.18,0.04
1.77,0.21,0.37,0.04
1.84,0.17,0.32,0.04
1.67,0.26,0.43,0.04
1.88,0.22,0.42,0.04
2.00,0.24,0.47,0.04
2.02,0.26,0.53,0.04
1.79,0.18,0.32,0.04
2.10,0.19,0.40,0.04
2.06,0.07,0.14,0.04
1.96,0.29,0.57,0.04
1.48,0.24,0.36,0.04
1.78,0.24,0.43,0.04
2.60,0.21,0.54,0.04
1.88,0.25,0.47,0.04
2.31,0.18,0.41,0.04
1.59,0.20,0.32,0.04
1.66,0.20,0.34,0.04
2.08,0.19,0.39,0.04
2.14,0.22,0.46,0.04
1.57,0.13,0.20,0.04
2.83,0.17,0.48,0.04
2.24,0.18,0.40,0.04
2.02,0.11,0.23,0.04
1.69,0.11,0.19,0.04
2.14,0.12,0.25,0.04
1.81,0.14,0.26,0.04
1.83,0.10,0.18,0.04
1.92,0.04,0.08,0.04
1.50,0.30,0.45,0.04
1.48,0.36,0.53,0.04
2.14,0.35,0.76,0.04
2.72,0.35,0.94,0.04
